ticker,time,open,close,high,low,vwap
TSLA,2025-08-01 06:30:00,306.28,306.745,307.6899,306.0,306.65251
TSLA,2025-08-01 06:31:00,306.7,308.108,308.7599,306.57,307.955538
TSLA,2025-08-01 06:32:00,308.11,306.6399,308.1796,306.1,306.969419
TSLA,2025-08-01 06:33:00,306.52,304.82,306.65,304.28,305.376936
TSLA,2025-08-01 06:34:00,304.82,304.36,304.8899,303.5114,304.023159
TSLA,2025-08-01 06:35:00,304.34,304.9224,305.8153,303.795,304.806055
TSLA,2025-08-01 06:36:00,304.85,304.43,305.69,304.4,305.05158
TSLA,2025-08-01 06:37:00,304.455,305.36,305.6388,304.27,304.899734
TSLA,2025-08-01 06:38:00,305.39,305.085,305.4499,304.7524,305.05872
TSLA,2025-08-01 06:39:00,305.02,304.06,305.2187,303.8016,304.414989
TSLA,2025-08-01 06:40:00,304.025,304.075,304.76,303.6001,304.148894
TSLA,2025-08-01 06:41:00,304.08,303.35,304.31,303.1834,303.717693
TSLA,2025-08-01 06:42:00,303.3842,302.79,303.69,302.68,303.055499
TSLA,2025-08-01 06:43:00,302.79,302.5001,303.2,302.31,302.670279
TSLA,2025-08-01 06:44:00,302.54,302.4701,302.76,302.1201,302.485828
TSLA,2025-08-01 06:45:00,302.52,302.8628,303.02,302.06,302.474848
TSLA,2025-08-01 06:46:00,302.865,303.07,303.56,302.76,303.178217
TSLA,2025-08-01 06:47:00,303.04,301.93,303.4934,301.83,302.543902
TSLA,2025-08-01 06:48:00,302.0,302.93,303.2,302.0,302.546243
TSLA,2025-08-01 06:49:00,302.86,302.7005,303.25,302.6501,302.941971
TSLA,2025-08-01 06:50:00,302.72,302.5592,302.93,302.265,302.55072
TSLA,2025-08-01 06:51:00,302.5,302.7882,302.85,302.02,302.450009
TSLA,2025-08-01 06:52:00,302.785,302.075,302.92,301.99,302.408901
TSLA,2025-08-01 06:53:00,302.14,301.49,302.14,301.34,301.704481
TSLA,2025-08-01 06:54:00,301.5243,301.65,301.7631,301.25,301.467996
TSLA,2025-08-01 06:55:00,301.6,301.2099,301.85,300.86,301.376815
TSLA,2025-08-01 06:56:00,301.13,301.077,301.5,301.0105,301.224292
TSLA,2025-08-01 06:57:00,301.06,300.41,301.135,300.35,300.71095
TSLA,2025-08-01 06:58:00,300.41,300.643,300.8,300.33,300.530738
TSLA,2025-08-01 06:59:00,300.64,300.32,300.8,299.5,300.130968
TSLA,2025-08-01 07:00:00,300.32,299.63,300.39,298.89,299.351218
TSLA,2025-08-01 07:01:00,299.585,298.6264,299.64,298.56,299.075333
TSLA,2025-08-01 07:02:00,298.61,298.4162,298.76,298.2,298.458691
TSLA,2025-08-01 07:03:00,298.44,299.26,299.35,297.82,298.455064
TSLA,2025-08-01 07:04:00,299.2802,300.32,300.7899,299.18,299.918346
TSLA,2025-08-01 07:05:00,300.34,300.315,300.7,299.9101,300.299723
TSLA,2025-08-01 07:06:00,300.315,301.4753,301.8,300.1308,301.112819
TSLA,2025-08-01 07:07:00,301.52,301.0,301.9184,300.8899,301.473133
TSLA,2025-08-01 07:08:00,300.985,301.41,301.48,300.35,300.897536
TSLA,2025-08-01 07:09:00,301.43,301.7,301.78,301.21,301.534154
TSLA,2025-08-01 07:10:00,301.69,302.5,302.725,301.64,302.232021
TSLA,2025-08-01 07:11:00,302.5,302.4069,303.12,302.24,302.736318
TSLA,2025-08-01 07:12:00,302.44,302.98,303.08,302.21,302.606318
TSLA,2025-08-01 07:13:00,303.0036,302.01,303.05,301.9707,302.592848
TSLA,2025-08-01 07:14:00,302.05,301.78,302.43,301.7401,302.111094
TSLA,2025-08-01 07:15:00,301.78,302.21,302.79,301.7301,302.231758
TSLA,2025-08-01 07:16:00,302.3,302.81,303.0,302.18,302.692625
TSLA,2025-08-01 07:17:00,302.835,303.3193,303.55,302.6001,303.109673
TSLA,2025-08-01 07:18:00,303.3,303.45,303.76,303.2,303.469554
TSLA,2025-08-01 07:19:00,303.415,302.97,303.55,302.86,303.17619
